Date,Timestamp,Volume,Open,High,Low,Close,EURUSD
20181206,12:30:00,3103.17999768257,1.1342,1.13485,1.13419,1.13481,EURUSD,
20181206,12:45:00,3047.32000100613,1.13481,1.13507,1.13454,1.1348,EURUSD,
20181206,13:00:00,3459.72999572754,1.13483,1.13549,1.13458,1.13513,EURUSD,
20181206,13:15:00,5678.09999537468,1.13517,1.13682,1.13511,1.1364,EURUSD,
20181206,13:30:00,5442.65998005867,1.1364,1.13674,1.13577,1.13636,EURUSD,
20181206,13:45:00,4973.60998296738,1.13636,1.13674,1.13591,1.13595,EURUSD,
20181206,14:00:00,6189.28998500109,1.13594,1.13877,1.13577,1.13862,EURUSD,
20181206,14:15:00,5761.55997931957,1.13864,1.13945,1.13826,1.1383,EURUSD,
20181206,14:30:00,5658.58998823166,1.1383,1.13955,1.13822,1.1392,EURUSD,
20181206,14:45:00,5095.91998720169,1.13919,1.13996,1.13876,1.13955,EURUSD,
20181206,15:00:00,5233.01999604702,1.13929,1.14018,1.1391,1.13995,EURUSD,
20181206,15:15:00,4918.0599874258,1.13995,1.14123,1.13964,1.14087,EURUSD,
20181206,15:30:00,5048.68998968601,1.14087,1.14113,1.13965,1.14003,EURUSD,
20181206,15:45:00,6388.61997961998,1.14003,1.14026,1.1381,1.13817,EURUSD,
20181206,16:00:00,4930.20999062061,1.13819,1.13857,1.13761,1.13823,EURUSD,
20181206,16:15:00,3957.30999088287,1.13823,1.13823,1.13697,1.13704,EURUSD,
20181206,16:30:00,4611.40998363495,1.13703,1.13709,1.13574,1.13652,EURUSD,
20181206,16:45:00,4631.16998529434,1.13656,1.13753,1.13651,1.1373,EURUSD,
20181206,17:00:00,4206.18997955322,1.1373,1.13809,1.13727,1.13808,EURUSD,
20181206,17:15:00,4647.84999012947,1.13808,1.13897,1.13774,1.13882,EURUSD,
20181206,17:30:00,4560.1999861002,1.13881,1.13896,1.1379,1.13806,EURUSD,
20181206,17:45:00,4627.05999183655,1.13807,1.13881,1.13761,1.13864,EURUSD,
20181206,18:00:00,3343.72998905182,1.13863,1.13915,1.13832,1.13843,EURUSD,
20181206,18:15:00,3398.30999290943,1.13842,1.13926,1.13842,1.13856,EURUSD,
20181206,18:30:00,2612.97999346256,1.13856,1.13865,1.13835,1.13862,EURUSD,
20181206,18:45:00,2499.26999175549,1.13861,1.13867,1.13808,1.13835,EURUSD,
20181206,19:00:00,2897.29998528957,1.13835,1.139,1.1383,1.13874,EURUSD,
20181206,19:15:00,2514.61999249458,1.13875,1.13879,1.13837,1.13844,EURUSD,
20181206,19:30:00,2640.50999033451,1.13844,1.13854,1.13788,1.13797,EURUSD,
20181206,19:45:00,3306.22998821735,1.13796,1.13807,1.13719,1.13733,EURUSD,
20181206,20:00:00,2993.34998559952,1.13732,1.13756,1.13728,1.13753,EURUSD,
20181206,20:15:00,3119.4499784708,1.13753,1.13765,1.13711,1.13756,EURUSD,
20181206,20:30:00,2922.66998577118,1.13756,1.13774,1.13675,1.13735,EURUSD,
20181206,20:45:00,2374.27999138832,1.13735,1.13822,1.13731,1.13819,EURUSD,
20181206,21:00:00,1143.45999246836,1.13819,1.13836,1.13804,1.13829,EURUSD,
20181206,21:15:00,671.359995365143,1.13829,1.13833,1.13799,1.13809,EURUSD,
20181206,21:30:00,1153.41999197006,1.13809,1.13825,1.13788,1.13793,EURUSD,
20181206,21:45:00,1109.31000547111,1.13792,1.13801,1.1372,1.1372,EURUSD,
20181206,22:00:00,508.729999810457,1.1372,1.13805,1.1372,1.1372,EURUSD,
20181206,22:15:00,1040.21000015736,1.1372,1.13797,1.1372,1.13744,EURUSD,
20181206,22:30:00,1649.52000023425,1.13744,1.13793,1.13725,1.13763,EURUSD,
20181206,22:45:00,1897.95999968052,1.13763,1.13794,1.13735,1.13768,EURUSD,
20181206,23:00:00,1646.52999293804,1.13766,1.13786,1.13751,1.13765,EURUSD,
20181206,23:15:00,981.919996738434,1.13773,1.13777,1.13761,1.13769,EURUSD,
20181206,23:30:00,1223.73999345303,1.13769,1.13776,1.13741,1.13756,EURUSD,
20181206,23:45:00,1191.20999777317,1.13756,1.13761,1.13737,1.13758,EURUSD,
20181207,00:00:00,2064.80999445915,1.13758,1.13775,1.13726,1.1376,EURUSD,
20181207,00:15:00,2034.86999189854,1.1376,1.13777,1.13741,1.13752,EURUSD,
20181207,00:30:00,1583.28999757767,1.13751,1.13761,1.13736,1.13737,EURUSD,
20181207,00:45:00,2288.46000289917,1.13737,1.13745,1.13711,1.13738,EURUSD,
20181207,01:00:00,1497.65999627113,1.13738,1.13753,1.13727,1.13747,EURUSD,
20181207,01:15:00,1659.99999344349,1.13746,1.13767,1.13739,1.13759,EURUSD,
20181207,01:30:00,1531.2099943161,1.13759,1.13778,1.13749,1.13762,EURUSD,
20181207,01:45:00,1991.07999777794,1.13764,1.13767,1.13739,1.13757,EURUSD,
20181207,02:00:00,1717.17999696732,1.13756,1.13756,1.13739,1.13754,EURUSD,
20181207,02:15:00,1313.35999619961,1.13754,1.13762,1.13733,1.13734,EURUSD,
20181207,02:30:00,1313.41999292374,1.13734,1.13763,1.13729,1.13748,EURUSD,
20181207,02:45:00,1551.09999525547,1.13749,1.13774,1.1374,1.13746,EURUSD,
20181207,03:00:00,1040.96999454498,1.13745,1.13765,1.13745,1.13754,EURUSD,
20181207,03:15:00,1178.92999720573,1.13754,1.13793,1.13751,1.13789,EURUSD,
20181207,03:30:00,1277.19000017643,1.13787,1.13819,1.13781,1.13802,EURUSD,
20181207,03:45:00,1570.92999053001,1.13802,1.13809,1.13765,1.13773,EURUSD,
20181207,04:00:00,1721.65000414848,1.13773,1.13784,1.13749,1.13749,EURUSD,
20181207,04:15:00,1727.83999812603,1.13749,1.13769,1.13745,1.13769,EURUSD,
20181207,04:30:00,1488.38999438286,1.13769,1.13769,1.13745,1.13747,EURUSD,
20181207,04:45:00,980.93999350071,1.13747,1.13755,1.13737,1.13738,EURUSD,
20181207,05:00:00,1069.14999616146,1.13737,1.13745,1.13717,1.13734,EURUSD,
20181207,05:15:00,1109.38999927044,1.13734,1.1375,1.1372,1.13728,EURUSD,
20181207,05:30:00,1458.78999757767,1.13728,1.13728,1.13686,1.13691,EURUSD,
20181207,05:45:00,1247.23999357224,1.13689,1.13692,1.13658,1.13668,EURUSD,
20181207,06:00:00,1090.08999407291,1.13669,1.1368,1.13654,1.13679,EURUSD,
20181207,06:15:00,1484.62999820709,1.1368,1.13704,1.1365,1.13691,EURUSD,
20181207,06:30:00,1694.86999380589,1.13692,1.13711,1.13672,1.13676,EURUSD,
20181207,06:45:00,1411.36999809742,1.13678,1.13739,1.13674,1.13734,EURUSD,
20181207,07:00:00,2690.65998625755,1.13733,1.13733,1.13603,1.13668,EURUSD,
20181207,07:15:00,2306.39999401569,1.13668,1.13686,1.13627,1.13684,EURUSD,
20181207,07:30:00,2553.3799957037,1.13686,1.13734,1.13686,1.13728,EURUSD,
20181207,07:45:00,2433.24999451637,1.13727,1.13755,1.13708,1.1373,EURUSD,
20181207,08:00:00,3371.03999626637,1.1373,1.13748,1.13683,1.13714,EURUSD,
20181207,08:15:00,3490.3199917078,1.13715,1.13752,1.13635,1.13733,EURUSD,
20181207,08:30:00,3938.2699958086,1.13732,1.1382,1.13729,1.1381,EURUSD,
20181207,08:45:00,3260.96999502182,1.13809,1.13825,1.13736,1.13774,EURUSD,
20181207,09:00:00,2747.33998604119,1.13774,1.13786,1.13706,1.13748,EURUSD,
20181207,09:15:00,2534.81998741627,1.13748,1.13797,1.13731,1.13749,EURUSD,
20181207,09:30:00,3258.61999737471,1.13748,1.13749,1.1363,1.13661,EURUSD,
20181207,09:45:00,2890.58999419212,1.13661,1.13678,1.13639,1.1366,EURUSD,
20181207,10:00:00,3399.47999453545,1.13659,1.13735,1.13649,1.13697,EURUSD,
20181207,10:15:00,3177.18999111652,1.13695,1.13724,1.13689,1.13699,EURUSD,
20181207,10:30:00,2470.62999498844,1.13698,1.13744,1.13643,1.13646,EURUSD,
20181207,10:45:00,3200.55999743938,1.13648,1.13713,1.13628,1.13705,EURUSD,
20181207,11:00:00,2964.38999700546,1.13705,1.13745,1.13696,1.13729,EURUSD,
20181207,11:15:00,2930.42999625206,1.13732,1.13774,1.13708,1.13771,EURUSD,
20181207,11:30:00,2699.20999336243,1.13771,1.13831,1.13765,1.13809,EURUSD,
20181207,11:45:00,2685.34999704361,1.13809,1.13841,1.13788,1.13808,EURUSD,
20181207,12:00:00,3037.43998789787,1.13808,1.13823,1.13777,1.13802,EURUSD,
20181207,12:15:00,3154.94999527931,1.13801,1.13802,1.13714,1.13725,EURUSD,
20181207,12:30:00,2578.36999619007,1.13726,1.13745,1.13688,1.13709,EURUSD,
20181207,12:45:00,3438.32998991013,1.13709,1.13721,1.13649,1.13655,EURUSD,
20181207,13:00:00,3787.12999367714,1.13659,1.13757,1.13659,1.13708,EURUSD,
20181207,13:15:00,3244.61999285221,1.13708,1.13715,1.13653,1.13674,EURUSD,
20181207,13:30:00,8025.6499915123,1.13674,1.1415,1.13673,1.13794,EURUSD,
20181207,13:45:00,4822.61999154091,1.13795,1.13968,1.13758,1.13887,EURUSD,
20181207,14:00:00,5118.89997828007,1.13886,1.13947,1.13736,1.13802,EURUSD,
20181207,14:15:00,5317.50998568535,1.13803,1.13907,1.13798,1.13828,EURUSD,
20181207,14:30:00,5131.82999324799,1.13829,1.13975,1.13787,1.13958,EURUSD,
20181207,14:45:00,4738.95998775959,1.13961,1.14047,1.13822,1.13865,EURUSD,
20181207,15:00:00,4077.98998606205,1.13865,1.13881,1.13762,1.13818,EURUSD,
20181207,15:15:00,4110.52998483181,1.1382,1.13889,1.13784,1.13862,EURUSD,
20181207,15:30:00,3787.63999056816,1.13862,1.13872,1.13775,1.13833,EURUSD,
20181207,15:45:00,4476.56998825073,1.13832,1.13916,1.13782,1.13906,EURUSD,
20181207,16:00:00,3832.90999042988,1.13905,1.13936,1.13847,1.13893,EURUSD,
